title,phone,emails,website,category,address,review_rating,review_count,instagram,facebook,linkedin
"Sasson - The Global Kitchen & Bar","","","","Continental restaurant","402, Magarpatta Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013","4.600000","1699","","",""
"TERITREE Restaurant","077740 85656","","","North Indian restaurant","Survey No 158, Near Konark Bella Vista Bhosale Nagar, Shivaji Road, Off, Magarpatta Rd, Hadapsar, Pune, Maharashtra 411028","4.300000","4761","","",""
"SHREE RAM VEG","092842 16831","","","Restaurant","Shop no 1/2, SHREE RAM VEG, sr no 150, Magarpatta Rd, Tilekar Vasti, Laxmi Vihar, Hadapsar, Pune, Maharashtra 411028","4.500000","432","","",""
"Kokkita Restaurant and Bar","073502 19595","","","North Indian restaurant","Kokkita Restaurant, Tupe Patil Rd, near Samidha Gas, Malwadi, Hadapsar, Pune, Maharashtra 411028","4.000000","4736","","",""
"Kwality Family Resto Bar","079726 15627","","","North Indian restaurant","Marvel Fuego Commercial Premises, Unit No 10,20,30, Ground Floor, Wing A, Survey No 137, Magarpatta Rd, Opposite Seasons Mal, Amanora Park Town, Hadapsar, Pune, Maharashtra 411036","4.100000","3832","","",""
"BMG - Unplugged","077980 08866","","","Live music venue","near Amanora Mall, Amanora Park Town, Hadapsar, Pune, Maharashtra 411028","4.200000","3257","","",""
"Punjab Exotica (Amanora)","095959 33366","","","North Indian restaurant","Amanora Mall Ground Floor - West-Block Next To Azorte Amanora Town Centre, Mundwa -Kharadi Rd, Hadapsar, Pune, Maharashtra 411028","4.500000","1898","","",""
"MOURYA FOOD'S EXX PRESS VEG - NONVEG RESTAURANT","084828 80084","","","Indian restaurant","Matru Smruti Complex, Malwadi, Hadapsar, Pune, Maharashtra 411028","4.100000","319","","",""
"Ba Vithhala Pure Veg Restaurant","099212 42424","","","Maharashtrian Restaurant","Shop no 1, Ba Vithhala Pure Veg Restaurant, Amar Palace, Pune - Solapur Rd, near Janseva Bank ltd, Hadapsar Gaon, Hadapsar, Pune, Maharashtra 411028","4.100000","773","","",""
"The Green Court Pure Veg","","","","Vegetarian restaurant","Sr.No.168/14A, opp. Wisdom World School, Malwadi, Hadapsar, Pune, Maharashtra 411028","3.900000","1133","","",""
"SUNRISE FAMILY RESTAURANT","095070 30009","","","Restaurant","DC Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013","4.500000","194","","",""
"Pop Tates Seasons Mall","086557 34768","","","North Indian restaurant","2nd floor, Pop Tates Seasons Mall, SEASONS MALL, Magarpatta, Hadapsar, Pune, Maharashtra 411013","4.500000","523","","",""
"Masoli Restaurant","098534 84896","","","Seafood restaurant","Sr No. 210, Masoli Restaurant, Avdhoot Heights, Near, DP Rd, Malwadi, Hadapsar, Pune, Maharashtra 411028","4.100000","1898","","",""
"House of Bottles","097665 50611","","","Restaurant","4th Floor, House of Bottles, SEASONS MALL, Magarpatta, Hadapsar, Pune, Maharashtra 411013","4.400000","693","","",""
"Swad-Amritsari","098812 15455","","","North Indian restaurant","Shop No, Swad-Amritsari, BG 25, DC Rd, Magarpatta, Hadapsar, Pune, Maharashtra 411013","4.300000","111","","",""
"Utsavv A/C Family Restaurant & Bar","076202 02852","","","Family restaurant","Survey No 162, Triveni Nagar, Pune - Solapur Road, Near Bhosale Park, Hadapsar, Pune, Maharashtra 411028","3.900000","2089","","",""
"The Tang","093712 50606","","","Asian restaurant","near leisure town, Sadhunana Tupe Vasti, Malwadi, Hadapsar, Pune, Maharashtra 411028","4.600000","220","","",""
"PK BIRYANI HOUSE MAGARPATTA HADAPSAR","099212 77027","","","Biryani restaurant","Magar patta, Sr no .149/12, Magarpatta Rear Approach, opp. magarpatta city, Hadapsar, Pune, Maharashtra 411028","3.700000","1350","","",""
"Meghraj Family Restaurant Bar","096043 73794","","","Bar","Shop No 1, Meghraj Family Restaurant Bar, Aru Nagar, Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028","4.200000","212","","",""
"Srivalli South Indian Restaurant","082375 20365","","","Restaurant","Bhosale Nagar, Hadapsar, Pune, Maharashtra 411028","4.500000","344","","",""
